,GPS_time,SatPRN,Pseudo_range,CN0,SatX,SatY,SatZ
596,1.397062442426042e+18,32,281.7537841796875,50.9,7787129.048004523,17840475.922622673,18369821.64508736
623,1.397062442426042e+18,03,-469.73724365234375,28.3,23137418.16261498,-12051395.53613383,4474537.025096268
624,1.397062442426042e+18,08,211.55831909179688,39.8,25032930.07953713,4790984.237728105,8105746.692842904
625,1.397062442426042e+18,10,386.87994384765625,26.4,-1643609.2745687868,17342344.602869898,20157482.282775573
626,1.397062442426042e+18,27,572.47119140625,26.5,23093894.738759417,13304077.964065365,-3049296.6846329058
627,1.397062442426042e+18,28,-475.2441711425781,31.7,5167100.555225345,25830144.60791714,-3428198.0334067675
628,1.397062442426042e+18,32,281.673828125,37.2,7787129.048004523,17840475.922622673,18369821.64508736
643,1.397062443426042e+18,02,-471.7315979003906,45.4,14638273.994217336,-4849889.054697799,22091234.39314268
644,1.397062443426042e+18,08,213.1464691162109,48.4,25033772.903835494,4791632.002273027,8102841.525349718
645,1.397062443426042e+18,10,388.7319030761719,34.4,-1645746.8166350117,17343678.08114945,20156115.843698278
646,1.397062443426042e+18,21,-311.5648498535156,46.6,15762715.421717478,1922416.2492206,21850880.26713152
647,1.397062443426042e+18,27,573.7925415039062,37.7,23093479.73906386,13304141.700064404,-3052417.239348889
648,1.397062443426042e+18,32,282.7855224609375,53.0,7785005.791112122,17839627.22171527,18371545.97300297
675,1.397062443426042e+18,08,213.1400604248047,43.3,25033772.903835494,4791632.002273027,8102841.525349718
676,1.397062443426042e+18,27,573.1099853515625,33.5,23093479.73906386,13304141.700064404,-3052417.239348889
677,1.397062443426042e+18,28,-475.0005493164063,37.6,5166872.455341282,25830604.807504833,-3425060.4950496177
678,1.397062443426042e+18,32,282.814453125,41.8,7785005.791112122,17839627.22171527,18371545.97300297
698,1.397062444426042e+18,02,-471.4403991699219,40.6,14638728.919240192,-4847237.607551768,22091548.404200222
699,1.397062444426042e+18,03,-468.57916259765625,33.3,23136686.324133255,-12050378.389299233,4480870.487158765
700,1.397062444426042e+18,08,213.8795166015625,48.8,25034615.434089024,4792279.569551211,8099936.18902268
701,1.397062444426042e+18,10,388.3410339355469,35.5,-1647884.1384708313,17345011.597971026,20154748.979625728
702,1.397062444426042e+18,21,-311.2567749023437,47.1,15763154.962819258,1925035.6721563232,21850420.439693544
703,1.397062444426042e+18,27,574.1802368164062,37.0,23093064.39459274,13304205.292627545,-3055537.7309224503
704,1.397062444426042e+18,32,283.1325988769531,50.9,7782882.290049539,17838778.55453945,18373269.91895387
731,1.397062444426042e+18,08,213.9703063964844,44.1,25034615.434089024,4792279.569551211,8099936.18902268
732,1.397062444426042e+18,10,388.6382446289063,28.3,-1647884.1384708313,17345011.597971026,20154748.979625728
733,1.397062444426042e+18,27,574.4208374023438,33.7,23093064.39459274,13304205.292627545,-3055537.7309224503
734,1.397062444426042e+18,28,-474.3369140625,28.9,5166644.340142408,25831064.628384877,-3421922.883878019
735,1.397062444426042e+18,32,283.2395935058594,41.1,7782882.290049539,17838778.55453945,18373269.91895387
752,1.397062445426042e+18,02,-472.2884826660156,42.4,14639184.01047993,-4844586.153698297,22091861.964962825
753,1.397062445426042e+18,03,-468.37933349609375,28.8,23136319.954649873,-12049869.443282554,4484037.07405082
754,1.397062445426042e+18,08,213.4285430908203,48.3,25035457.67028075,4792926.939613238,8097030.68384231
755,1.397062445426042e+18,10,387.7432556152344,38.6,-1650021.2398595838,17346345.153169386,20153381.69069848
756,1.397062445426042e+18,21,-312.0549621582031,47.1,15763594.651015686,1927655.002283346,21849960.170340065
757,1.397062445426042e+18,27,573.5729370117188,36.9,23092648.705317385,13304268.741807353,-3058658.159407793
758,1.397062445426042e+18,32,282.4635925292969,47.4,7780758.544763919,17837929.921107687,18374993.482977856
784,1.397062445426042e+18,03,-468.67974853515625,23.0,23136319.954649873,-12049869.443282554,4484037.07405082
785,1.397062445426042e+18,08,213.40676879882807,44.2,25035457.67028075,4792926.939613238,8097030.68384231
786,1.397062445426042e+18,10,387.7718505859375,32.4,-1650021.2398595838,17346345.153169386,20153381.69069848
787,1.397062445426042e+18,27,573.6322631835938,35.1,23092648.705317385,13304268.741807353,-3058658.159407793
788,1.397062445426042e+18,28,-474.2986755371094,28.4,5166416.20957788,25831524.07055034,-3418785.1999707487
789,1.397062445426042e+18,32,282.4631042480469,40.5,7780758.544763919,17837929.921107687,18374993.482977856
807,1.397062446426042e+18,02,-472.5425720214844,42.6,14639639.26790801,-4841934.6933392305,22092175.07540923
808,1.397062446426042e+18,03,-469.5457153320313,36.1,23135953.285145532,-12049360.248937242,4487203.564018726
809,1.397062446426042e+18,08,213.64573669433597,47.7,25036299.612343542,4793574.1124719,8094125.009961625
810,1.397062446426042e+18,10,388.049072265625,38.9,-1652158.1205929788,17347678.746584505,20152013.977051865
811,1.397062446426042e+18,21,-312.1918334960937,45.9,15764034.486288773,1930274.239539124,21849499.459084313
812,1.397062446426042e+18,27,574.2032470703125,35.5,23092232.671216357,13304332.047655428,-3061778.5248035104
813,1.397062446426042e+18,28,-474.2990417480469,35.1,5166188.065362718,25831983.130442984,-3415647.467690487
814,1.397062446426042e+18,32,282.9799499511719,46.2,7778634.555468649,17837081.321539056,18376716.66489648
842,1.397062446426042e+18,03,-469.5843505859375,28.7,23135953.285145532,-12049360.248937242,4487203.564018726
843,1.397062446426042e+18,08,213.67579650878903,42.6,25036299.612343542,4793574.1124719,8094125.009961625
844,1.397062446426042e+18,10,387.93743896484375,28.5,-1652158.1205929788,17347678.746584505,20152013.977051865
845,1.397062446426042e+18,27,574.343017578125,37.2,23092232.671216357,13304332.047655428,-3061778.5248035104
846,1.397062446426042e+18,28,-474.0183715820313,27.5,5166188.065362718,25831983.130442984,-3415647.467690487
847,1.397062446426042e+18,32,282.9625244140625,39.9,7778634.555468649,17837081.321539056,18376716.66489648
865,1.397062447426042e+18,02,-473.4975280761719,42.2,14640094.691549016,-4839283.226366813,22092487.735554796
866,1.397062447426042e+18,03,-470.65240478515625,41.4,23135586.315563627,-12048850.806091275,4490369.957840242
867,1.397062447426042e+18,08,213.18765258789065,41.8,25037141.26024689,4794221.088168066,8091219.167407471
868,1.397062447426042e+18,10,389.3212890625,36.6,-1654294.7809414705,17349012.378355272,20150645.838514697
869,1.397062447426042e+18,21,-312.7935791015625,49.6,15764474.468615636,1932893.3838321702,21849038.30594461
870,1.397062447426042e+18,27,574.295166015625,39.0,23091816.292291008,13304395.210219728,-3064898.826938212
871,1.397062447426042e+18,28,-473.1176452636719,32.6,5165959.903914916,25832441.815161232,-3412509.638550264
872,1.397062447426042e+18,32,284.1578369140625,46.3,7776510.322042599,17836232.75581855,18378439.46480315
898,1.397062447426042e+18,03,-470.8655395507813,35.4,23135586.315563627,-12048850.806091275,4490369.957840242
899,1.397062447426042e+18,08,212.89480590820312,39.5,25037141.26024689,4794221.088168066,8091219.167407471
900,1.397062447426042e+18,10,389.3506774902344,31.8,-1654294.7809414705,17349012.378355272,20150645.838514697
901,1.397062447426042e+18,27,574.235595703125,33.7,23091816.292291008,13304395.210219728,-3064898.826938212
902,1.397062447426042e+18,28,-472.12548828125,30.1,5165959.903914916,25832441.815161232,-3412509.638550264
903,1.397062447426042e+18,32,283.9871520996094,32.6,7776510.322042599,17836232.75581855,18378439.46480315
921,1.397062448426042e+18,02,-474.0846252441406,44.4,14640550.281377908,-4836631.752962366,22092799.9453807
922,1.397062448426042e+18,03,-472.0220031738281,43.9,23135219.045997873,-12048341.114781631,4493536.254994078
923,1.397062448426042e+18,08,212.61509704589844,47.0,25037982.61396071,4794867.866742693,8088313.15620533
924,1.397062448426042e+18,10,391.57275390625,40.4,-1656431.2206453234,17350346.048289534,20149277.275255263
925,1.397062448426042e+18,21,-312.6029968261719,45.4,15764914.59799275,1935512.4351861062,21848576.710919
926,1.397062448426042e+18,27,573.9661865234375,37.5,23091399.568540264,13304458.229548853,-3068019.065658293
927,1.397062448426042e+18,28,-473.1081237792969,31.6,5165731.7269346565,25832900.121173624,-3409371.736708722
928,1.397062448426042e+18,32,285.8080444335937,43.1,7774385.844574582,17835384.224015445,18380161.882620536
951,1.397062448426042e+18,03,-472.0509033203125,34.5,23135219.045997873,-12048341.114781631,4493536.254994078
952,1.397062448426042e+18,08,212.506103515625,37.8,25037982.61396071,4794867.866742693,8088313.15620533
953,1.397062448426042e+18,10,391.4478149414063,31.2,-1656431.2206453234,17350346.048289534,20149277.275255263
954,1.397062448426042e+18,32,285.24176025390625,26.2,7774385.844574582,17835384.224015445,18380161.882620536
972,1.3970624494260424e+18,02,-474.5546875,42.9,14641006.037404208,-4833980.273105675,22093111.704891954
973,1.3970624494260424e+18,03,-473.2990417480469,39.6,23134851.476466913,-12047831.174940674,4496702.45560809
974,1.3970624494260424e+18,08,212.03323364257807,40.5,25038823.673441075,4795514.448226176,8085406.976428431
975,1.3970624494260424e+18,10,392.7530822753906,37.5,-1658567.43968492,17351679.756344978,20147908.28728823
976,1.3970624494260424e+18,21,-312.9574279785156,47.2,15765354.874394996,1938131.3934958535,21848114.67402819
977,1.3970624494260424e+18,27,574.4579467773438,44.2,23090982.49992565,13304521.105696525,-3071139.2410924206
978,1.3970624494260424e+18,28,-470.3774108886719,31.4,5165503.534389701,25833358.04843613,-3406233.7624988975
979,1.3970624494260424e+18,32,286.7653503417969,44.1,7772261.123123637,17834535.726186994,18381883.91829562
1007,1.3970624494260424e+18,03,-473.3825073242188,30.9,23134851.476466913,-12047831.174940674,4496702.45560809
1008,1.3970624494260424e+18,08,212.1495819091797,39.6,25038823.673441075,4795514.448226176,8085406.976428431
1009,1.3970624494260424e+18,10,392.7124328613281,34.3,-1658567.43968492,17351679.756344978,20147908.28728823
1010,1.3970624494260424e+18,27,574.433349609375,29.2,23090982.49992565,13304521.105696525,-3071139.2410924206
1011,1.3970624494260424e+18,28,-470.39984130859375,24.6,5165503.534389701,25833358.04843613,-3406233.7624988975
1029,1.3970624504260424e+18,02,-476.0866394042969,38.4,14641461.959594727,-4831328.787025042,22093423.014064316
1030,1.3970624504260424e+18,03,-475.6336059570313,42.6,23134483.607016735,-12047320.98653914,4499868.559573106
1031,1.3970624504260424e+18,08,210.95779418945312,42.0,25039664.43864683,4796160.832651176,8082500.628140468
1032,1.3970624504260424e+18,10,393.2180786132813,37.8,-1660703.4381507756,17353013.50254819,20146538.874557473
1033,1.3970624504260424e+18,21,-314.0026550292969,44.7,15765795.297801705,1940750.2586833597,21847652.195288178
1034,1.3970624504260424e+18,27,573.307373046875,38.1,23090565.086439822,13304583.8387125,-3074259.3531327406
1035,1.3970624504260424e+18,28,-477.59906005859375,29.8,5165275.326180841,25833815.597039167,-3403095.7153321425
1036,1.3970624504260424e+18,32,287.11627197265625,45.6,7770136.157746529,17833687.26238938,18383605.57177738
1062,1.3970624504260424e+18,03,-475.3502502441406,32.7,23134483.607016735,-12047320.98653914,4499868.559573106
1063,1.3970624504260424e+18,08,210.92626953125,40.1,25039664.43864683,4796160.832651176,8082500.628140468
1064,1.3970624504260424e+18,10,393.5643615722656,31.5,-1660703.4381507756,17353013.50254819,20146538.874557473
1065,1.3970624504260424e+18,27,573.7071533203125,26.9,23090565.086439822,13304583.8387125,-3074259.3531327406
1066,1.3970624504260424e+18,32,287.178466796875,25.6,7770136.157746529,17833687.26238938,18383605.57177738
1083,1.3970624514260424e+18,02,-474.7161254882813,34.0,14641918.047990903,-4828677.2945148125,22093733.872924518
1084,1.3970624514260424e+18,03,-476.27252197265625,44.5,23134115.437697165,-12046810.549552692,4503034.566748276
1085,1.3970624514260424e+18,08,210.7372589111328,43.6,25040504.909528315,4796807.020043576,8079594.111434654
1086,1.3970624514260424e+18,10,391.3103942871094,32.9,-1662839.2157797236,17354347.286704678,20145169.037233874
1087,1.3970624514260424e+18,21,-313.96044921875,43.4,15766235.868200475,1943369.0307196197,21847189.274706315
