,GPS_time,SatPRN,Pseudo_range,CN0,SatX,SatY,SatZ,Pos.X,Pos.Y,"Pos,Z",Lat,Lon,Alt
43,3256.34603733907,03,-476.3250122070313,38.0,23132270.094419267,-12044254.63447146,4518863.149127351,4436923.042498889,3085231.3962491346,3376322.0509879575,32.168831625312436,34.81296795003807,53.65481893066317
44,3257.3460389369866,03,-475.3610229492188,47.6,23131900.126716133,-12043742.705172628,4522028.574435575,4436927.906249026,3085220.5546485684,3376321.5760367913,32.16883854439253,34.81284413916578,51.54288928117603
45,3257.3460389369866,03,-475.4197998046875,39.1,23131900.126716133,-12043742.705172628,4522028.574435575,4436927.906249026,3085220.5546485684,3376321.5760367913,32.16883854439253,34.81284413916578,51.54288928117603
46,3258.346040514065,03,-474.82763671875,49.7,23131529.85943614,-12043230.527041722,4525193.90245124,4436932.262011586,3085215.1594855348,3376322.9495512918,32.16884664722835,34.81277081205893,52.694104042835534
47,3258.346040514065,03,-474.86181640625,42.3,23131529.85943614,-12043230.527041722,4525193.90245124,4436932.262011586,3085215.1594855348,3376322.9495512918,32.16884664722835,34.81277081205893,52.694104042835534
48,3259.346042098012,03,-475.10833740234375,49.4,23131159.29261049,-12042718.100028627,4528359.133193831,4436933.520664929,3085207.7333103735,3376317.7041114676,32.16882199999367,34.812698551742656,47.18736175727099
49,3259.346042098012,03,-475.0978088378906,41.4,23131159.29261049,-12042718.100028627,4528359.133193831,4436933.520664929,3085207.7333103735,3376317.7041114676,32.16882199999367,34.812698551742656,47.18736175727099
50,3260.346043686033,03,-474.7986450195313,49.8,23130788.42628148,-12042205.424099213,4531524.266586259,4436937.341605451,3085196.066159474,3376324.062645951,32.168887455758096,34.812573866360225,47.590054439380765
51,3260.346043686033,03,-474.7770385742188,41.5,23130788.42628148,-12042205.424099213,4531524.266586259,4436937.341605451,3085196.066159474,3376324.062645951,32.168887455758096,34.812573866360225,47.590054439380765
52,3261.346045273007,03,-474.5791320800781,50.3,23130417.260492645,-12041692.49921986,4534689.302544092,4436936.713833475,3085194.2984186513,3376312.7398061124,32.168808342962926,34.81256227853043,40.27140356320888
53,3261.346045273007,03,-474.6860656738281,41.7,23130417.260492645,-12041692.49921986,4534689.302544092,4436936.713833475,3085194.2984186513,3376312.7398061124,32.168808342962926,34.81256227853043,40.27140356320888
54,3262.3460468560224,03,-473.1638488769531,49.9,23130045.79528637,-12041179.325356554,4537854.240989891,4435813.182421477,3085293.0418349016,3375186.700211633,32.164369808060016,34.82022345182763,-1292.3073640437797
55,3262.3460468560224,03,-473.1897277832031,40.7,23130045.79528637,-12041179.325356554,4537854.240989891,4435813.182421477,3085293.0418349016,3375186.700211633,32.164369808060016,34.82022345182763,-1292.3073640437797
56,3263.346048423089,03,-471.7867736816406,50.6,23129674.030116495,-12040665.905053385,4541019.078115445,4436944.744618901,3085181.644637251,3376323.687247415,32.16889493730825,34.812403523730524,45.56594708375633
57,3263.346048423089,03,-471.84075927734375,41.7,23129674.030116495,-12040665.905053385,4541019.078115445,4436944.744618901,3085181.644637251,3376323.687247415,32.16889493730825,34.812403523730524,45.56594708375633
58,3264.346049995045,03,-470.3562316894531,49.6,23129301.966793142,-12040152.230542151,4544183.825024629,4435751.852738027,3085162.335593474,3375072.505585671,32.16409799322728,34.81945694803267,-1458.8988466998562
59,3264.346049995045,03,-470.4236145019531,40.2,23129301.966793142,-12040152.230542151,4544183.825024629,4435751.852738027,3085162.335593474,3375072.505585671,32.16409799322728,34.81945694803267,-1458.8988466998562
60,3265.346051561064,03,-469.54925537109375,48.6,23128929.603585318,-12039638.30951453,4547348.470508814,4435754.623843127,3085152.3203462455,3375069.3046465633,32.164090087526915,34.81935298138367,-1463.5180109338835
61,3265.346051561064,03,-469.6480102539063,40.6,23128929.603585318,-12039638.30951453,4547348.470508814,4435754.623843127,3085152.3203462455,3375069.3046465633,32.164090087526915,34.81935298138367,-1463.5180109338835
62,3266.346053131041,03,-468.28460693359375,50.0,23128556.94112309,-12039124.139355483,4550513.018233147,4436952.714653056,3085173.483690736,3376316.9607270896,32.1688345419737,34.81228424528433,43.58031540457159
63,3266.346053131041,03,-468.392578125,41.0,23128556.94112309,-12039124.139355483,4550513.018233147,4436952.714653056,3085173.483690736,3376316.9607270896,32.1688345419737,34.81228424528433,43.58031540457159
64,3267.346054692054,03,-468.8262634277344,47.6,23128183.979452714,-12038609.720035987,4553677.468088523,4436951.2884846935,3085167.7285908493,3376327.7838253067,32.16893855666842,34.812242781112495,45.57001263927668
65,3267.346054692054,03,-468.45611572265625,40.9,23128183.979452714,-12038609.720035987,4553677.468088523,4436951.2884846935,3085167.7285908493,3376327.7838253067,32.16893855666842,34.812242781112495,45.57001263927668
66,3268.3460562570253,03,-468.3190307617188,49.7,23127810.718610935,-12038095.05151353,4556841.820047623,4435555.976867003,3084960.2958098417,3376385.1229432607,32.17544601594148,34.818884062473394,-993.7915638880804
67,3268.3460562570253,03,-468.6031494140625,37.1,23127810.718610935,-12038095.05151353,4556841.820047623,4435555.976867003,3084960.2958098417,3376385.1229432607,32.17544601594148,34.818884062473394,-993.7915638880804
68,3269.3460578150116,03,-469.74847412109375,50.3,23127437.158643227,-12037580.133758202,4560006.0740076015,4434951.4907974955,3085023.2993573616,3375110.3369553913,32.16792344580222,34.8230931538376,-2062.1609142934904
69,3269.3460578150116,03,-469.5420837402344,35.1,23127437.158643227,-12037580.133758202,4560006.0740076015,4434951.4907974955,3085023.2993573616,3375110.3369553913,32.16792344580222,34.8230931538376,-2062.1609142934904
70,3270.3460593849886,03,-472.8392028808594,50.2,23127063.29958411,-12037064.966724366,4563170.229960299,4436969.896735604,3085160.0297180964,3376321.8461912437,32.16884098090005,34.81206313554331,51.62073571048677
71,3270.3460593849886,03,-472.7918395996094,35.7,23127063.29958411,-12037064.966724366,4563170.229960299,4436969.896735604,3085160.0297180964,3376321.8461912437,32.16884098090005,34.81206313554331,51.62073571048677
72,3271.346060966025,03,-473.4275512695313,49.9,23126689.14147539,-12036549.550376844,4566334.287834555,4436972.226697636,3085151.0355427777,3376315.677168791,32.16880935784884,34.81197074159703,45.609153896570206
73,3271.346060966025,03,-473.376708984375,35.8,23126689.14147539,-12036549.550376844,4566334.287834555,4436972.226697636,3085151.0355427777,3376315.677168791,32.16880935784884,34.81197074159703,45.609153896570206
74,3272.3460625520675,03,-473.9370727539063,50.1,23126314.684360955,-12036033.884682884,4569498.247543014,4436976.1487882035,3085150.98112852,3376316.0099183526,32.16879658621589,34.8119465290147,48.48582611978054
